text,label
"verification required immediately",1
"your payment is safe",0
"your order is on the way",0
"your order returned",0
"your shipment delivered",0
"otp is required",0
"do not share otp with anyone",0
"urgent: claim reward now",1
"exclusive offer click",1
"instant cashback click now",1
"you have won iphone",1
"congratulations you got reward",1
"your plan expires today",0
"payment received",0
"your credit is updated",0
"your complaint closed",0
"security alert verify now",1
"verify to unlock account",1
"call immediately",1
"thank you have a good day",0
"order confirmed",0
"delivery update",0
"hello sir from support",1
"urgent refund pending",1
"your account is locked",1
"confirm otp for refund",1
"free voucher claim now",1
"your order processed",0
"your shipment is delayed",0
"your otp is 112233",0
"please share otp for cashback",1
"your data pack renewed",0
"thank you for choosing us",0
"loan offer click now",1
"urgent loan approved",1
"paytm refund share otp",1
"upi blocked",1
"your bank will block account",1
"your payment refunded",0
"refund credited",0
"thank you for visiting",0
"welcome user",0
"new login from unknown device",1
"your account is at risk",1
"click to secure account",1
"otp for verification is 654321",0
"your recharge pack ends today",0
"please recharge",0
"your service renewed",0
"system update tomorrow",0
"your number is selected for cash prize",1
"claim your cash prize",1
"your upi pin compromised",1
"reset upi pin now",1
"your account will be suspended",1
"verify now",1
"payment done",0
"order shipped successfully",0
"your otp is 999999",0
"your bill due date tomorrow",0
"discount offer click",1
"call us to claim reward",1
"your upi has been disabled",1
"enable now by verifying",1
"payment credited to wallet",0
"wallet balance low",0
"good afternoon",0
"good luck",0
"your delivery is confirmed",0
"your transaction is successful",0
"thanks for your order",0
"please confirm your delivery time",0
"click to claim refund",1
"urgent otp required",1
"security verification required",1
"verify your account now",1
"free gift waiting",1
"gift claim",1
"you are winner",1
"this is final warning",1
"your upi will stop",1
"your sim will stop",1
"your transaction pending",1
"your money received",0
"your money sent",0
"otp for login",0
"thank you for using upi",0
"your parcel delivered successfully",0
"order delivery tomorrow",0
"delivery otp needed",1
"customer care calling",1
"your account blocked urgent",1
"link expired",0
"your number verified",0
"hello sir good morning",0
"your mobile recharge is done",0
"claim now limited offer",1
"kyc update required now",1
"fraud detected click",1
"loan approved click",1
"upi security warning",1
"pay now urgent",1
"your payment received",0
"good job",0
"well done",0
"ok thanks",0
"your ticket is ready",0
"your statement ready",0
"claim cashback urgent",1
"call now for support",1
"urgent bank verification",1
"your plan upgraded",0
"account secured",0
"your otp is 135790",0
"your otp is 246802",0
"free data offer",1
"click for free recharge",1
"your bank account is blocked",1
"your account will freeze now",1
"confirm otp now",1
"payment successful thank you",0
"service active",0
"your service will stop",1
"please update kyc urgently",1
"otp is secret",0
"do not disclose otp",0
"thank you for choosing jio",0
"your recharge expires",0
"your payment confirmed",0
"otp verification pending",1
"your id blocked",1
"urgent: confirm details",1
"cash prize claim",1
"free voucher",1
"cashback offer click",1
"share otp quickly",1
"your account hacked urgent",1
"bank support calling",1
"upi pin reset now",1
"reset pin",1
"thank you your transaction completed",0
"your plan renewed successfully",0
"good",0
"fine",0
"hello dear",0
"your otp is 101010",0
"delivery otp is 9090",0
"customer care from bank",1
"urgent sim verification required",1
"update sim kyc",1
"your account flagged suspicious",1
"verification failed",0
"payment pending",1
"urgent payment needed",1
"confirm link",1
"click now",1
"thank you for using our service",0
""
